codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4303004;Cachoeira do Sul - RS;2022;1588;171377
4303004;Cachoeira do Sul - RS;2023;1309;140131
4303103;Cachoeirinha - RS;2019;0;0
4303103;Cachoeirinha - RS;2020;0;0
4303103;Cachoeirinha - RS;2021;0;0
4303103;Cachoeirinha - RS;2022;0;0
4303103;Cachoeirinha - RS;2023;0;0
4303202;Cacique Doble - RS;2019;3905;35926
4303202;Cacique Doble - RS;2020;2200;20240
4303202;Cacique Doble - RS;2021;3122;28566
4303202;Cacique Doble - RS;2022;1442;13194
4303202;Cacique Doble - RS;2023;3600;32940
4303301;Caibaté - RS;2019;3242;49668
4303301;Caibaté - RS;2020;1191;18240
4303301;Caibaté - RS;2021;3168;51696
4303301;Caibaté - RS;2022;387;5934
4303301;Caibaté - RS;2023;815;12510
4303400;Caiçara - RS;2019;2900;9280
4303400;Caiçara - RS;2020;2900;9280
4303400;Caiçara - RS;2021;3000;10500
4303400;Caiçara - RS;2022;900;3150
4303400;Caiçara - RS;2023;2400;9600
4303509;Camaquã - RS;2019;2600;67600
4303509;Camaquã - RS;2020;1548;41807
4303509;Camaquã - RS;2021;3700;103600
4303509;Camaquã - RS;2022;3780;113400
4303509;Camaquã - RS;2023;2400;84000
4303558;Camargo - RS;2019;3500;21525
4303558;Camargo - RS;2020;2100;13125
4303558;Camargo - RS;2021;3300;19800
4303558;Camargo - RS;2022;1080;7290
4303558;Camargo - RS;2023;2967;20027
4303608;Cambará do Sul - RS;2019;3000;1650
4303608;Cambará do Sul - RS;2020;2551;1403
4303608;Cambará do Sul - RS;2021;3151;1733
4303608;Cambará do Sul - RS;2022;2880;1584
4303608;Cambará do Sul - RS;2023;3600;1980
4303673;Campestre da Serra - RS;2019;3500;21000
4303673;Campestre da Serra - RS;2020;2550;17850
4303673;Campestre da Serra - RS;2021;3812;30496
4303673;Campestre da Serra - RS;2022;1800;21600
4303673;Campestre da Serra - RS;2023;3544;31896
4303707;Campina das Missões - RS;2019;3300;18179
4303707;Campina das Missões - RS;2020;2703;14905
4303707;Campina das Missões - RS;2021;2702;16521
4303707;Campina das Missões - RS;2022;180;216
4303707;Campina das Missões - RS;2023;720;4320
4303806;Campinas do Sul - RS;2019;3500;56000
4303806;Campinas do Sul - RS;2020;2700;43200
4303806;Campinas do Sul - RS;2021;3840;60672
4303806;Campinas do Sul - RS;2022;2250;34740
4303806;Campinas do Sul - RS;2023;2200;34760
4303905;Campo Bom - RS;2019;0;0
4303905;Campo Bom - RS;2020;0;0
4303905;Campo Bom - RS;2021;0;0
4303905;Campo Bom - RS;2022;0;0
4303905;Campo Bom - RS;2023;0;0
4304002;Campo Novo - RS;2019;3500;42000
4304002;Campo Novo - RS;2020;2600;29900
4304002;Campo Novo - RS;2021;3500;40250
4304002;Campo Novo - RS;2022;1032;11868
4304002;Campo Novo - RS;2023;2611;28980
4304101;Campos Borges - RS;2019;3157;27706
4304101;Campos Borges - RS;2020;1364;12378
4304101;Campos Borges - RS;2021;3900;35490
